codigo,grupo,carrera,facultad,duracion,ubicacion,privada/publica,titulo,turnos,modalidades,link a pag principal,imagen
contadorPublico_BELGRANO,Ciencias&Economicas,Contador publico ,BELGRANO,4 o 5 años,CABA,privada,Contador publico,mañana-tarde,presencial,http://www.ub.edu.ar/,
contadorPublico_KENNEDY,Ciencias&Economicas,Contador publico ,KENNEDY,4 o 5 años,Bartolomé Mitre 1411,privada,Bachiller Universitario en Ciencias Económicas,mañana-tarde,Presencial/Online,https://www.kennedy.edu.ar,
contadorPublico_PALERMO,Ciencias&Economicas,Contador publico ,PALERMO,4 o 5 años,Mario Bravo 1050,privada,Contador publico,mañana-tarde,Presencial,https://www.palermo.edu,
contadorPublico_UADE,Ciencias&Economicas,Contador publico ,UADE,4 o 5 años,"Lima 775, CABA",privada,Contador publico,mañana-tarde,Presencial,www.uade.edu.ar,
economia_UDESA,Ciencias&Economicas,Licenciatura en Economia,SAN ANDRES,5 años y medio,Vito Dumas 284,privada,Licenciado en Economía,mañana-tarde-noche,Presencial/Online,https://udesa.edu.ar,
economia_UADE,Ciencias&Economicas,Licenciatura en Economia,UADE,5 años y medio,"Lima 775, CABA",privada,Licenciado en Economía,mañana-tarde-noche,Presencial/Online,https://www.uade.edu.ar,
economia_UBA,Ciencias&Economicas,Licenciatura en Economia,UBA,5 años y medio,"Viamonte 430, CABA",publica,Licenciado en Economía,mañana-tarde-noche,Presencial/Online,https://www.economicas.uba.ar,
economia_UCEME,Ciencias&Economicas,Licenciatura en Economia,UCEME,5 años y medio,Avenida Córdoba 374,privada,Licenciado en Economía,Mañana-noche,Presencial/Online,https://ucema.edu.ar,
administracion_UADE,Ciencias&Economicas,Licenciatura en Administracion de empresas,UADE,4 o 5 años,"Lima 775, CABA",privada,LICENCIADO EN ADMINISTRACIÓN DE EMPRESAS,mañana-tarde-noche,Presencial/Online,www.uade.edu.ar,
administracion_UBA,Ciencias&Economicas,Licenciatura en Administracion de empresas,UBA,4 o 5 años,"Viamonte 430, CABA",publica,LICENCIADO EN ADMINISTRACIÓN DE EMPRESAS,mañana-tarde-noche,Presencial/Online,https://www.economicas.uba.ar,
administracion_UNSAM,Ciencias&Economicas,Licenciatura en Administracion de empresas,UNSAM,4 o 5 años,Av. 25 de Mayo 1169,privada,LICENCIADO EN ADMINISTRACIÓN DE EMPRESAS,mañana-tarde-noche,Presencial,https://www.unsam.edu.ar/,
administracion_UNL,Ciencias&Economicas,Licenciatura en Administracion de empresas,UNL,4 años,Boulevard Pellegrini 2750,privada,LICENCIADO EN ADMINISTRACIÓN DE EMPRESAS,mañana-tarde-noche,Presencial,https://www.unl.edu.ar/,
comercioInternacional_UNLM,Ciencias&Economicas,Licenciatura en Comercio Internacional,UNLM,4 años,Florencio Varela 1903,publica,Lic. en Logística Global,mañna-tarde,Presencial,https://www.unlam.edu.ar/index.php?seccion=1,
comercioInternacional_UNLU,Ciencias&Economicas,Licenciatura en Comercio Internacional,UNLU,4 años,Ecuador 871,publica,Lic. en Logística Global,mañna-tarde,Presencial,https://www.unlu.edu.ar/,
comercioInternacional_UNTREF,Ciencias&Economicas,Licenciatura en Comercio Internacional,UNTREF,4 años,Juncal 1319,publica,Lic. en Logística Global,mañna-tarde,presencial,https://www.untref.edu.ar/,
comercioInternacional_UNICEN,Ciencias&Economicas,Licenciatura en Comercio Internacional,UNICEN,4 años,"Pinto 399, Tandil",publica,Lic. en Logística Global,mañna-tarde,presencial,https://www.unicen.edu.ar/,
RRHH_UNLZ,Ciencias&Economicas,Licenciatura Recursos Humanos,UNLZ,4 años,Camino de Cintura y Juan XXIII,publica,Máster en gestión y desarrollo de personas y equipos.,tarde-noche,Online,http://www.economicas.unlz.edu.ar/nuevosite/,
RRHH_UNTREF,Ciencias&Economicas,Licenciatura Recursos Humanos,UNTREF,4 años,Valentín Gómez 4828,publica,Máster en gestión y desarrollo de personas y equipos.,tarde-noche,presencial,https://www.untref.edu.ar/,
RRHH_UBA,Ciencias&Economicas,Licenciatura Recursos Humanos,UBA,4 años,Viamonte 430,publica,Máster en gestión y desarrollo de personas y equipos.,mañna-tarde,presencial,https://www.uba.ar/,
RRHH_UNM,Ciencias&Economicas,Licenciatura Recursos Humanos,UNM,4 años,Av. Bmé. Mitre Nº 1891,publica,Máster en gestión y desarrollo de personas y equipos.,tarde-noche,presencial/online,http://www.unm.edu.ar/,
RRHH_UNR,Ciencias&Economicas,Licenciatura Recursos Humanos,UNR,4 años,Maipú 1065,publica,Máster en gestión y desarrollo de personas y equipos.,tarde-noche,presencial/online,https://unr.edu.ar/,
RRHH_UNNE,Ciencias&Economicas,Licenciatura Recursos Humanos,UNNE,4 años,25 de mayo 0868,publica,Máster en gestión y desarrollo de personas y equipos.,tarde-noche,presencial,https://www.unne.edu.ar/index.php?lang=en,