Arquitectura_UADE,arquitectura&diseño,Arquitectura,UADE,5 años,CABA,privada,Arquitecto,Mañana-Tarde,presencial,https://www.uade.edu.ar/facultad-de-arquitectura-y-diseno/arquitectura/,arquiUADE
Arquitectura_UBA,arquitectura&diseño,Arquitectura,UBA,5 años,CABA,publica,Arquitecto,mañana - tarde - noche,presencial,https://www.fadu.uba.ar/categoria/49-arquitectura,arquiUBA
Arquitectura_UP,arquitectura&diseño,Arquitectura,UP,5 años,CABA,privada,Arquitecto,Mañana/Tarde,presencial,https://www.palermo.edu/carreras/arquitectura/,arquiUP
Arquitectura_UB,arquitectura&diseño,Arquitectura,UB,5 años,CABA,privada,Arquitecto,Mañana/Noche,presencial,https://ub.edu.ar/facultad-de-arquitectura-y-urbanismo/arquitectura,arquiUB
DiseñoInteriores_EAD,arquitectura&diseño,Diseño Interiores,EAD,3 años,CABA,privada,Licenciatura,Mañana/Tarde,presencial,.,disInterioresEAD
DiseñoInteriores_ISD,arquitectura&diseño,Diseño Interiores,ISD,3 años,CABA,privada,Licenciatura,Tarde/Noche,presencial,https://www.integral.edu.ar/carreras-y-cursos/diseno-de-interiores/,disInterioresISD
DiseñoInteriores_UM,arquitectura&diseño,Diseño Interiores,UM,4 años,CABA / MORON,privada,Licenciatura,Mañana/Noche,presencial,https://carreras.acaula.com.ar/diseno-de-interiores/licenciatura-en-diseno-de-interiores/11767/cp,disInterioresUM
DiseñoInteriores_UB,arquitectura&diseño,Diseño Interiores,UB,4 años,CABA,privada,Licenciatura,Tarde/Noche,presencial,https://www.ub.edu.ar/landings/diseno-interiores.html?medio=0&form=0,disInterioresUB
DiseñoTextil_EAM,arquitectura&diseño,Diseño Textil,EAM,3 años,"Florida 656, CABA",Privada,Tecnicatura ,Tarde/Noche,presencial,https://eamoda.com.ar/estudia/diseno-de-indumentaria/, disTextilEAM
DiseñoTextil_ISD,arquitectura&diseño,Diseño Textil,ISD,3 años ,"Aráoz 2193, CABA",Privada,Licenciatura,Mañana/Tarde,presencial,https://www.integral.edu.ar/,disTextilISD
DiseñoTextil_UM,arquitectura&diseño,Diseño Textil,UM,4 años ,"Cabildo 134, CABA",Privada,Tecnicatura ,Mañana/Tarde,presencial,https://www.viaedu.com.ar/carrera/diseno-de-indumentaria-y-textil/licenciatura-en-diseno-de-indumentaria/338,disTextilUM
DiseñoTextil_UB,arquitectura&diseño,Diseño Textil,UB,2 años ,"Zabala 1837, CABA",Privada,Licenciatura,Mañana/Tarde,Presencial,http://www.ub.edu.ar/,disTextilUB
DiseñoGrafico_ISEC,arquitectura&diseño,Diseño Grafico,ISEC,3 años,"Junin 508, CABA",Privada,Tecnicatura ,Tarde/Noche, Presencial,https://www.isec.edu.ar/disenografico/,disGraficoISEC
DiseñoGrafico_UAI,arquitectura&diseño,Diseño Grafico,UAI,4 años,"Av San Juan 951, CABA",Privada,Tecnicatura ,Tarde/Noche,Presencial,https://nbapi.uai.edu.ar/tpl/planestudio?carrera=I1,disGraficoUAI
DiseñoGrafico_UBA,arquitectura&diseño,Diseño Grafico,UBA,4 años,"Viamonte 444, CABA",Publica,Tecnicatura ,Mañana/Tarde,Presencial,https://www.fadu.uba.ar/categoria/50-diseo-grfico,disGraficoUBA
DiseñoGrafico_DaVinci,arquitectura&diseño,Diseño Grafico,DaVinci,3 años,"Av Corrientes 2037, CABA",Privada,Licenciatura,Tarde/Noche,Presencial/Virtual,https://davinci.edu.ar/carreras/diseno-grafico,disGraficoDaVinci
DiseñoAudiovisual_ISEC,arquitectura&diseño,Diseño Audiovisual,ISEC,3 años ,"Junin 508, CABA",Privada,Tecnicatura ,Mañana/tarde,Presencial,www.isec.edu.ar/,disAudioISEC
DiseñoAudiovisual_UADE,arquitectura&diseño,Diseño Audiovisual,UADE,4 años ,Lima 775,Privada,Tecnicatura ,Mañana/tarde,Presencial,https://www.uade.edu.ar/facultad-de-arquitectura-y-diseno/licenciatura-en-diseno-audiovisual/plan-de-estudios/,disAudioUADE
DiseñoAudiovisual_UBA,arquitectura&diseño,Diseño Audiovisual,UBA,5 años,Viamonte 420,Publica,Tecnicatura ,Mañana/Tarde,Presencial,www.uba.ar,disAudio